SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionRate,Startingfraction,Experiment
Ea,Pv,14,18,0.4375,0.5625,1000,0.1,4
Ea,Pv,12,0,1,0,10000,0.9,4
Ea,Pv,21,0,1,0,10000,0.1,4
Ea,Pv,16,0,1,0,100000,0.9,4
Ea,Pv,15,0,1,0,100000,0.1,4
Ea,Pv,8,0,1,0,1000000,0.9,4
Ea,Pv,1,0,1,0,1000000,0.1,4
Pci,Pv,0,81,0,1,10,0.1,1
Pci,Pv,0,79,0,1,10,0.9,1
Pci,Pv,0,59,0,1,100,0.1,1
Pci,Pv,0,66,0,1,100,0.9,1
Pci,Pv,0,39,0,1,1000,0.1,1
Pci,Pv,77,1,0.98718,0.012821,1000,0.9,1
Pci,Pv,0,30,0,1,10000,0.1,1
Pci,Pv,40,0,1,0,10000,0.9,1
Pci,Pv,21,0,1,0,100000,0.1,1
Pci,Pv,8,0,1,0,100000,0.9,1
Pci,Pv,1,0,1,0,1000000,0.1,1
Pci,Pv,4,0,1,0,1000000,0.9,1
Pci,Pv,0,29,0,1,10,0.94,2
Pci,Pv,0,37,0,1,10,0.84,2
Pci,Pv,0,32,0,1,10,0.68,2
Pci,Pv,0,46,0,1,10,0.42,2
Pci,Pv,89,18,0.831775701,0.168224299,100,0.94,2
Pci,Pv,0,20,0,1,100,0.84,2
Pci,Pv,0,20,0,1,100,0.68,2
Pci,Pv,0,24,0,1,100,0.42,2
Pci,Pv,55,0,1,0,1000,0.94,2
Pci,Pv,0,19,0,1,1000,0.84,2
Pci,Pv,0,17,0,1,1000,0.68,2
Pci,Pv,0,19,0,1,1000,0.42,2
Pci,Pv,38,0,1,0,10000,0.94,2
Pci,Pv,16,0,1,0,10000,0.84,2
Pci,Pv,42,0,1,0,10000,0.68,2
Pci,Pv,10,0,1,0,10000,0.42,2
Pci,Pv,7,0,1,0,100000,0.94,2
Pci,Pv,13,0,1,0,100000,0.84,2
Pci,Pv,9,0,1,0,100000,0.68,2
Pci,Pv,9,0,1,0,100000,0.42,2
Pci,Pv,3,0,1,0,1000000,0.84,2
Pci,Pv,0,30,0,1,10,0.9,3
Pci,Pv,32,6,0.842105263,0.157894737,100,0.9,3
