Day,DilutionRate,SpeciesA,SpeciesB,SpeciesC,AColonies,BColonies,Ccolonies,Afraction,Bfraction,Cfraction,Startingfraction
5,10000,Ea,Pci,Pv,25,7,0,0.78125,0.21875,0,1
5,10000,Ea,Pci,Pv,28,33,0,0.459016393,0.540983607,0,2
5,10000,Ea,Pci,Pv,23,41,0,0.359375,0.640625,0,3
5,10000,Ea,Pci,Pv,70,51,0,0.578512397,0.421487603,0,4
5,100000,Ea,Pci,Pv,100,1,0,0.99009901,0.00990099,0,1
5,100000,Ea,Pci,Pv,120,360,0,0.25,0.75,0,2
5,100000,Ea,Pci,Pv,90,0,0,1,0,0,3
5,100000,Ea,Pci,Pv,110,1,0,0.990990991,0.009009009,0,4
5,1000000,Ea,Pci,Pv,24,0,0,1,0,0,1
5,1000000,Ea,Pci,Pv,13,3,0,0.8125,0.1875,0,2
5,1000000,Ea,Pci,Pv,20,0,0,1,0,0,3
5,1000000,Ea,Pci,Pv,15,0,0,1,0,0,4
6,10,Ea,Pci,Pv,2,0,45,0.042553191,0,0.957446809,1
6,10,Ea,Pci,Pv,0,0,27,0,0,1,2
6,10,Ea,Pci,Pv,1,0,37,0.026315789,0,0.973684211,3
6,10,Ea,Pci,Pv,0,0,25,0,0,1,4
6,100,Ea,Pci,Pv,16,5,17,0.421052632,0.131578947,0.447368421,1
6,100,Ea,Pci,Pv,17,17,0,0.5,0.5,0,2
6,100,Ea,Pci,Pv,9,0,23,0.28125,0,0.71875,3
6,100,Ea,Pci,Pv,2,0,32,0.058823529,0,0.941176471,4
6,1000,Ea,Pci,Pv,12,22,0,0.352941176,0.647058824,0,1
6,1000,Ea,Pci,Pv,16,16,0,0.5,0.5,0,2
6,1000,Ea,Pci,Pv,10,0,14,0.416666667,0,0.583333333,3
6,1000,Ea,Pci,Pv,13,15,0,0.464285714,0.535714286,0,4
6,10000,Ea,Pci,Pv,4,8,0,0.333333333,0.666666667,0,1
6,10000,Ea,Pci,Pv,7,4,0,0.636363636,0.363636364,0,2
6,10000,Ea,Pci,Pv,6,4,0,0.6,0.4,0,3
6,10000,Ea,Pci,Pv,7,7,0,0.5,0.5,0,4
6,100000,Ea,Pci,Pv,15,0,0,1,0,0,1
6,100000,Ea,Pci,Pv,12,13,0,0.48,0.52,0,2
6,100000,Ea,Pci,Pv,12,0,0,1,0,0,3
6,100000,Ea,Pci,Pv,16,0,0,1,0,0,4
6,1000000,Ea,Pci,Pv,35,0,0,1,0,0,1
6,1000000,Ea,Pci,Pv,35,0,0,1,0,0,2
6,1000000,Ea,Pci,Pv,25,0,0,1,0,0,3
6,1000000,Ea,Pci,Pv,34,0,0,1,0,0,4
7,10,Ea,Pci,Pv,0,0,38,0,0,1,1
7,10,Ea,Pci,Pv,0,0,20,0,0,1,2
7,10,Ea,Pci,Pv,0,0,26,0,0,1,3
7,10,Ea,Pci,Pv,0,0,34,0,0,1,4
7,100,Ea,Pci,Pv,17,0,14,0.548387097,0,0.451612903,1
7,100,Ea,Pci,Pv,12,2,9,0.52173913,0.086956522,0.391304348,2
7,100,Ea,Pci,Pv,7,0,35,0.166666667,0,0.833333333,3
7,100,Ea,Pci,Pv,3,0,25,0.107142857,0,0.892857143,4
7,1000,Ea,Pci,Pv,14,8,0,0.636363636,0.363636364,0,1
7,1000,Ea,Pci,Pv,17,11,0,0.607142857,0.392857143,0,2
7,1000,Ea,Pci,Pv,9,0,4,0.692307692,0,0.307692308,3
7,1000,Ea,Pci,Pv,14,4,0,0.777777778,0.222222222,0,4
7,10000,Ea,Pci,Pv,4,11,0,0.266666667,0.733333333,0,1
7,10000,Ea,Pci,Pv,5,3,0,0.625,0.375,0,2
7,10000,Ea,Pci,Pv,9,11,0,0.45,0.55,0,3
7,10000,Ea,Pci,Pv,6,8,0,0.428571429,0.571428571,0,4
7,100000,Ea,Pci,Pv,23,0,0,1,0,0,1
7,100000,Ea,Pci,Pv,15,12,0,0.555555556,0.444444444,0,2
7,100000,Ea,Pci,Pv,20,0,0,1,0,0,3
7,100000,Ea,Pci,Pv,19,0,0,1,0,0,4
7,1000000,Ea,Pci,Pv,5,0,0,1,0,0,1
7,1000000,Ea,Pci,Pv,9,0,0,1,0,0,2
7,1000000,Ea,Pci,Pv,6,0,0,1,0,0,3
7,1000000,Ea,Pci,Pv,3,0,0,1,0,0,4
5,10,Ea,Pp,Pci,48,11,41,0.48,0.11,0.41,1
5,10,Ea,Pp,Pci,60,12,50,0.491803279,0.098360656,0.409836066,2
5,10,Ea,Pp,Pci,60,0,35,0.631578947,0,0.368421053,3
5,10,Ea,Pp,Pci,53,2,70,0.424,0.016,0.56,4
5,100,Ea,Pp,Pci,39,1,39,0.493670886,0.012658228,0.493670886,1
5,100,Ea,Pp,Pci,80,22,200,0.264900662,0.072847682,0.662251656,2
5,100,Ea,Pp,Pci,53,0,51,0.509615385,0,0.490384615,3
5,100,Ea,Pp,Pci,60,36,160,0.234375,0.140625,0.625,4
5,1000,Ea,Pp,Pci,27,53,0,0.3375,0.6625,0,1
5,1000,Ea,Pp,Pci,53,1,33,0.609195402,0.011494253,0.379310345,2
5,1000,Ea,Pp,Pci,60,0,60,0.5,0,0.5,3
5,1000,Ea,Pp,Pci,26,0,39,0.4,0,0.6,4
5,10000,Ea,Pp,Pci,24,29,0,0.452830189,0.547169811,0,1
5,10000,Ea,Pp,Pci,42,4,25,0.591549296,0.056338028,0.352112676,2
5,10000,Ea,Pp,Pci,39,0,26,0.6,0,0.4,3
5,10000,Ea,Pp,Pci,27,0,12,0.692307692,0,0.307692308,4
5,100000,Ea,Pp,Pci,130,1,0,0.992366412,0.007633588,0,1
5,100000,Ea,Pp,Pci,180,100,0,0.642857143,0.357142857,0,2
5,100000,Ea,Pp,Pci,320,1,160,0.665280665,0.002079002,0.332640333,3
5,100000,Ea,Pp,Pci,120,3,15,0.869565217,0.02173913,0.108695652,4
5,1000000,Ea,Pp,Pci,27,0,0,1,0,0,1
5,1000000,Ea,Pp,Pci,14,96,0,0.127272727,0.872727273,0,2
5,1000000,Ea,Pp,Pci,11,120,0,0.083969466,0.916030534,0,3
